participant_id,study_hours,test_score
P01,6.787,69.298
P02,8.572,73.206
P03,6.258,65.139
P04,10.072,77.314
P05,10.612,72.439
P06,7.001,77.796
P07,5.781,47.312
P08,4.646,67.231
P09,6.698,77.166
P10,5.868,68.011
P11,5.994,70.218
P12,8.001,64.105
P13,7.041,63.081
P14,7.738,69.8
P15,7.302,68.083
P16,8.602,80.234
P17,10.649,75.912
P18,7.067,64.442
P19,7.392,80.533
P20,4.488,55.626
P21,6.895,62.521
P22,6.678,59.336
P23,7.024,71.527
P24,6.884,76.223
P25,5.693,66.548
P26,9.434,78.831
P27,8.677,68.456
P28,10.309,87.738
P29,8.33,72.214
P30,6.991,60.389
P31,9.581,78.608
P32,7.655,70.451
P33,5.169,59.033
P34,11.93,80.555
P35,8.358,75.877
P36,7.856,60.462
