participant_id,strategy,feedback,test_score
ch08_001,standard,no_feedback,58.842
ch08_002,standard,no_feedback,62.163
ch08_003,standard,no_feedback,68.615
ch08_004,standard,no_feedback,74.605
ch08_005,standard,no_feedback,70.798
ch08_006,standard,no_feedback,72.196
ch08_007,standard,no_feedback,68.423
ch08_008,standard,no_feedback,67.844
ch08_009,standard,no_feedback,60.161
ch08_010,standard,no_feedback,64.889
ch08_011,standard,no_feedback,69.051
ch08_012,standard,no_feedback,64.718
ch08_013,standard,feedback,73.112
ch08_014,standard,feedback,78.375
ch08_015,standard,feedback,70.69
ch08_016,standard,feedback,75.813
ch08_017,standard,feedback,67.605
ch08_018,standard,feedback,67.298
ch08_019,standard,feedback,73.825
ch08_020,standard,feedback,72.007
ch08_021,standard,feedback,74.003
ch08_022,standard,feedback,72.153
ch08_023,standard,feedback,68.67
ch08_024,standard,feedback,68.977
ch08_025,structured,no_feedback,75.134
ch08_026,structured,no_feedback,70.325
ch08_027,structured,no_feedback,79.692
ch08_028,structured,no_feedback,73.827
ch08_029,structured,no_feedback,77.326
ch08_030,structured,no_feedback,76.194
ch08_031,structured,no_feedback,70.721
ch08_032,structured,no_feedback,77.414
ch08_033,structured,no_feedback,71.601
ch08_034,structured,no_feedback,78.607
ch08_035,structured,no_feedback,73.72
ch08_036,structured,no_feedback,69.163
ch08_037,structured,feedback,75.742
ch08_038,structured,feedback,81.721
ch08_039,structured,feedback,76.426
ch08_040,structured,feedback,83.446
ch08_041,structured,feedback,82.911
ch08_042,structured,feedback,71.332
ch08_043,structured,feedback,84.658
ch08_044,structured,feedback,86.62
ch08_045,structured,feedback,76.559
ch08_046,structured,feedback,85.967
ch08_047,structured,feedback,76.333
ch08_048,structured,feedback,79.003
