id,time,strength,group,age,sex,bmi
1,pre,94.01841222464901,ProgramB,32,F,29.789201420801504
2,pre,60.62113282009692,ProgramB,25,M,21.65068374311899
3,pre,83.82305569402939,ProgramB,44,M,20.310671743317776
4,pre,96.06920017742435,ProgramB,41,F,25.180642164012607
5,pre,80.13060153302078,ProgramB,23,M,28.925452698447863
6,pre,75.49059233099217,ProgramB,31,M,18.910914941315774
7,pre,92.92312591014843,ProgramB,43,M,23.27017353112055
8,pre,91.46515747649224,ProgramA,40,F,21.787816061227822
9,pre,73.35955135318243,ProgramA,37,F,17.83643183985409
10,pre,66.44748779357568,ProgramA,35,F,26.57224348240437
11,pre,61.560828108998095,ProgramA,19,F,23.917946285058044
12,pre,73.19056904683283,ProgramB,38,M,24.25004645502412
13,pre,53.2899191203695,ProgramB,30,F,21.36690984644044
14,pre,66.78522405095757,ProgramA,20,M,25.591744570489208
15,pre,79.43212260358607,ProgramA,24,F,22.112459276794375
16,pre,80.31237581393506,ProgramB,32,M,23.499838770261338
17,pre,75.738310647227,ProgramA,37,F,20.121087227364704
18,pre,59.708061208111246,ProgramB,31,F,19.743640339271316
19,pre,99.43401994130781,ProgramA,34,F,28.67436149355008
20,pre,84.70390754578035,ProgramA,41,F,22.225133534115336
21,pre,89.53015286881464,ProgramB,36,M,25.020881247245306
22,pre,73.79661404064231,ProgramA,27,M,23.881733478314196
23,pre,81.59814475919407,ProgramA,35,F,22.455991790332355
24,pre,82.99097179821537,ProgramA,34,M,22.22213660381973
25,pre,76.13511171142578,ProgramB,20,M,26.20528907005955
26,pre,75.81531115029189,ProgramA,19,F,22.943463384131316
27,pre,77.48272587463066,ProgramB,35,M,23.46994723140048
28,pre,81.3771962030426,ProgramA,28,M,24.077775450180678
29,pre,80.0568412105057,ProgramA,34,F,28.117779120882005
30,pre,82.72749009112756,ProgramB,26,M,26.381788411215982
31,pre,65.4575444149616,ProgramB,24,M,25.339100937047974
32,pre,70.03932257995278,ProgramB,22,M,22.027500123263653
33,pre,72.28470201213922,ProgramB,28,F,19.163109479977372
34,pre,81.10948552420666,ProgramB,40,M,27.323354761073556
35,pre,92.86942223289873,ProgramB,28,F,27.382564969773068
36,pre,89.29345720566154,ProgramB,28,M,23.507520603068308
37,pre,80.8512219032568,ProgramB,33,M,25.896593445612314
38,pre,104.52751626424443,ProgramB,44,F,26.735050688598918
39,pre,90.5205836216117,ProgramA,28,F,26.909145584327437
40,pre,64.95036780011974,ProgramB,33,M,27.224842156362648
41,pre,76.9906721439163,ProgramA,29,F,22.405338222686034
42,pre,88.87718749923995,ProgramA,34,M,29.302405439326513
43,pre,73.60718415723296,ProgramB,30,M,19.63692429600002
